ca,label,url
So11111111111111111111111111111111111111112,correct_token_page,
,overlay_page,https://gmgn.ai/
, shell_page,https://gmgn.ai/
ca,label,url
5JAXbqTMJc2ZcdQL8kKxeBwpG9HN76MMAnTdExyRpump,correct_token_page,
6vikMVXwa987yVenBn3P1iHsoTcjAp42SsSKUYcwpump,correct_token_page,
6LbSLaDwTTke2nmMzP2NKuEWVP7QWPGvmNMjD7QApump,correct_token_page,
9UWJoB4LqoqUzPANph1bmdGGRnM5mUdWLRSMheJspump,correct_token_page,
GAdg5dJgNNmuBUh4N8PXM7YXKjTADmPuu3pZ2C8Zpump,correct_token_page,
9TAykmz2RK97apRV3rwyJNnPgJY3Fu98yZQXcUJSpump,correct_token_page,
6naLvwxo84oFeK8sEYeuSDmyCMzpJLJvzADuXbQmpump,correct_token_page,
9boMocazJCnA41HRFa5q1WPzHMU83sQswmVMsdT1pump,correct_token_page,
F8yiuqyAeUHseuHUJLJTZGpcJo69QHZD8MKAn5oYpump,correct_token_page,
BUYoUoSMuhXhjcnFZn7Ym6Z8SSL3bnBbPXVS5H3ipump,correct_token_page,
91ZNjmsjMVdi6jYx313yBonvPbBSDT16B8joFrFxpump,correct_token_page,
J95Nvz1NaX32gfTyq62uPDNaHPWeJ49vNJoH2eiMpump,correct_token_page,
8d7CDhkxj5zvfam9qysCG8zUm1fcsRn7GmU2475epump,correct_token_page,
DjDjxZWLmcafABUzWoAHjkVVyAw3ukEsVk59RkCTpump,correct_token_page
